+-------+-----+---------------------+------------------------+
| Ordem |  id |         Nome        | Distancia ate a cidade |
|  113  | 201 |     Wagga Wagga     |   1521.6745534727163   |
|  114  | 203 |       Wallaroo      |   1532.446080653267    |
|  115  | 204 |      Wangaratta     |   1542.3654357544517   |
|  116  | 206 |       Warwick       |    1553.3046797884     |
|  117  | 208 |    West Tamworth    |   1556.7132308679652   |
|  118  | 210 |      Wilcannia      |   1565.0138136291953   |
|  119  | 212 |        Winton       |   1575.1168289425636   |
|  120  | 211 |       Windorah      |   1578.4880776153402   |
|  121  | 213 |      Wollongong     |    1591.90976346204    |
|  122  | 215 |       Woomera       |   1607.7781311209023   |
|  123  | 217 |       Yeppoon       |   1625.4707816175815   |
|  124  | 219 |        Yulara       |   1647.3351892943435   |
+-------+-----+---------------------+------------------------+
